employment_income,mn_amt_0,mn_amt_1,mn_amt_2,mn_amt_3,mn_amt_4,mn_amt_5,mn_amt_6
17221.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17281.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17341.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17401.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17461.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17521.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17581.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17641.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17701.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17761.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17821.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17881.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17941.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18001.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18061.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18121.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18181.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18241.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18301.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18361.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18421.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18481.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18541.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18601.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18661.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18721.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18781.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18841.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18901.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18961.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19021.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19081.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19141.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19201.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19261.926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19321.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19381.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
